unix,date,symbol,open,high,low,close,Volume AGLD,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1674000000000,2023-01-18 00:00:00,AGLD/USDT,0.2892,0.2892,0.2892,0.2892,0,0,0,0,0,0.2892
1673913600000,2023-01-17 00:00:00,AGLD/USDT,0.2892,0.2892,0.2892,0.2892,0,0,0,0,0,0.2892
1673827200000,2023-01-16 00:00:00,AGLD/USDT,0.2892,0.2892,0.2892,0.2892,0,0,0,0,0,0.2892
1673740800000,2023-01-15 00:00:00,AGLD/USDT,0.2892,0.2892,0.2892,0.2892,0,0,0,0,0,0.2892
1673654400000,2023-01-14 00:00:00,AGLD/USDT,0.2892,0.2892,0.2892,0.2892,0,0,0,0,0,0.2892
1673568000000,2023-01-13 00:00:00,AGLD/USDT,0.2892,0.2892,0.2892,0.2892,0,0,0,0,0,0.2892
1673481600000,2023-01-12 00:00:00,AGLD/USDT,0.2892,0.2892,0.2892,0.2892,0,0,0,0,0,0.2892
1673395200000,2023-01-11 00:00:00,AGLD/USDT,0.2892,0.2892,0.2892,0.2892,1.99999152,6.9156,1.99999152,6.9156,1,0.2892
1673308800000,2023-01-10 00:00:00,AGLD/USDT,0.3006,0.3007,0.3006,0.3007,5.99399909,19.9351,5.99399909,19.9351,2,0.300675653101408795
1673222400000,2023-01-09 00:00:00,AGLD/USDT,0.298,0.298,0.298,0.298,0,0,0,0,0,0.298
1673136000000,2023-01-08 00:00:00,AGLD/USDT,0.298,0.298,0.298,0.298,1.9999972,6.7114,1.9999972,6.7114,1,0.298
1673049600000,2023-01-07 00:00:00,AGLD/USDT,0.2708,0.2708,0.2708,0.2708,0,0,0,0,0,0.2708
1672963200000,2023-01-06 00:00:00,AGLD/USDT,0.2708,0.2708,0.2708,0.2708,0,0,0,0,0,0.2708
1672876800000,2023-01-05 00:00:00,AGLD/USDT,0.2708,0.2708,0.2708,0.2708,0,0,0,0,0,0.2708
1672790400000,2023-01-04 00:00:00,AGLD/USDT,0.2708,0.2708,0.2708,0.2708,0,0,0,0,0,0.2708
1672704000000,2023-01-03 00:00:00,AGLD/USDT,0.2708,0.2708,0.2708,0.2708,0,0,0,0,0,0.2708
1672617600000,2023-01-02 00:00:00,AGLD/USDT,0.2708,0.2708,0.2708,0.2708,0,0,0,0,0,0.2708
1672531200000,2023-01-01 00:00:00,AGLD/USDT,0.2708,0.2708,0.2708,0.2708,74.11178576,273.6772,74.11178576,273.6772,1,0.2708
1672444800000,2022-12-31 00:00:00,AGLD/USDT,0.2695,0.2791,0.2695,0.2748,130.72272022,476.0587,8.78084458,32.2438,4,0.274599932531101057
1672358400000,2022-12-30 00:00:00,AGLD/USDT,0.2481,0.2481,0.2481,0.2481,0,0,0,0,0,0.248196831744178
1672272000000,2022-12-29 00:00:00,AGLD/USDT,0.2481,0.2481,0.2481,0.2481,0,0,0,0,0,0.248196831744178
1672185600000,2022-12-28 00:00:00,AGLD/USDT,0.2482,0.2482,0.2481,0.2481,306.81806761,1236.1885,107.13262606,431.6383,3,0.248196831744178
1672099200000,2022-12-27 00:00:00,AGLD/USDT,0.2471,0.2471,0.2471,0.2471,0,0,0,0,0,0.257889161746661392
1672012800000,2022-12-26 00:00:00,AGLD/USDT,0.2471,0.2471,0.2471,0.2471,0,0,0,0,0,0.257889161746661392
1671926400000,2022-12-25 00:00:00,AGLD/USDT,0.2471,0.2471,0.2471,0.2471,0,0,0,0,0,0.257889161746661392
1671840000000,2022-12-24 00:00:00,AGLD/USDT,0.2471,0.2471,0.2471,0.2471,0,0,0,0,0,0.257889161746661392
1671753600000,2022-12-23 00:00:00,AGLD/USDT,0.2471,0.2471,0.2471,0.2471,0,0,0,0,0,0.257889161746661392
1671667200000,2022-12-22 00:00:00,AGLD/USDT,0.2471,0.2471,0.2471,0.2471,0,0,0,0,0,0.257889161746661392
1671580800000,2022-12-21 00:00:00,AGLD/USDT,0.2471,0.2471,0.2471,0.2471,0,0,0,0,0,0.257889161746661392
1671494400000,2022-12-20 00:00:00,AGLD/USDT,0.2471,0.2471,0.2471,0.2471,0,0,0,0,0,0.257889161746661392
1671408000000,2022-12-19 00:00:00,AGLD/USDT,0.2471,0.2471,0.2471,0.2471,0,0,0,0,0,0.257889161746661392
1671321600000,2022-12-18 00:00:00,AGLD/USDT,0.2471,0.2471,0.2471,0.2471,0,0,0,0,0,0.257889161746661392
1671235200000,2022-12-17 00:00:00,AGLD/USDT,0.2592,0.2592,0.2471,0.2471,11.43924248,44.367,0,0,3,0.257889161746661392
1671148800000,2022-12-16 00:00:00,AGLD/USDT,0.2701,0.2701,0.2701,0.2701,1.09998225,4.0725,0,0,1,0.2701
1671062400000,2022-12-15 00:00:00,AGLD/USDT,0.2973,0.2973,0.2973,0.2973,0,0,0,0,0,0.2973
1670976000000,2022-12-14 00:00:00,AGLD/USDT,0.2973,0.2973,0.2973,0.2973,0,0,0,0,0,0.2973
1670889600000,2022-12-13 00:00:00,AGLD/USDT,0.2973,0.2973,0.2973,0.2973,0,0,0,0,0,0.2973
1670803200000,2022-12-12 00:00:00,AGLD/USDT,0.2973,0.2973,0.2973,0.2973,4.99618596,16.8052,0,0,1,0.2973
1670716800000,2022-12-11 00:00:00,AGLD/USDT,0.3117,0.3117,0.3086,0.3086,19.88515835,64.1144,9.99999057,32.0821,2,0.310158950158775074
1670630400000,2022-12-10 00:00:00,AGLD/USDT,0.3198,0.3198,0.3198,0.3198,9.6960162,30.319,0,0,1,0.3198
1670544000000,2022-12-09 00:00:00,AGLD/USDT,0.3359,0.3359,0.3359,0.3359,0,0,0,0,0,0.3359
1670457600000,2022-12-08 00:00:00,AGLD/USDT,0.3359,0.3359,0.3359,0.3359,10.19997299,30.3661,10.19997299,30.3661,1,0.3359
1670371200000,2022-12-07 00:00:00,AGLD/USDT,0.3292,0.3292,0.3292,0.3292,0,0,0,0,0,0.325813155257591711
1670284800000,2022-12-06 00:00:00,AGLD/USDT,0.3292,0.3292,0.3292,0.3292,0,0,0,0,0,0.325813155257591711
1670198400000,2022-12-05 00:00:00,AGLD/USDT,0.3257,0.3292,0.3257,0.3292,34.55484135,106.0576,34.55484135,106.0576,4,0.325813155257591711
1670112000000,2022-12-04 00:00:00,AGLD/USDT,0.2592,0.2592,0.2592,0.2592,0,0,0,0,0,0.2592
